Wall time,Step,Value
1783238510.1964393,125000,40.0
1783238511.435585,125500,40.0
1783238512.737992,126000,40.0
1783238514.101913,126500,40.0
1783238515.7170599,127000,40.0
1783238517.2535331,127500,40.0
1783238518.7850103,128000,40.0
1783238520.321057,128500,40.0
1783238521.6392224,129000,40.0
1783238522.9858696,129500,40.0
1783238524.3688571,130000,40.0
1783238525.591991,130500,40.0
1783238526.8327534,131000,40.0
1783238528.258823,131500,40.0
1783238529.4405642,132000,40.0
1783238530.7023783,132500,40.0
1783238532.0090325,133000,40.0
1783238533.2736642,133500,40.0
1783238534.5243475,134000,40.0
1783238535.8241274,134500,40.0
1783238537.0164163,135000,40.0
1783238538.241032,135500,40.0
1783238539.5101306,136000,40.0
1783238540.798047,136500,40.0
1783238542.0722115,137000,40.0
1783238543.381125,137500,40.0
1783238544.5985217,138000,40.0
1783238545.8920052,138500,40.0
1783238547.4501054,139000,40.0
1783238549.636951,139500,40.0
1783238551.3025007,140000,40.0
1783238552.7487485,140500,40.0
1783238554.2763584,141000,40.0
1783238556.051974,141500,40.0
1783238557.5081897,142000,40.0
1783238558.932181,142500,40.0
1783238560.3619032,143000,40.0
1783238561.7893102,143500,40.0
1783238563.328424,144000,40.0
1783238564.8950188,144500,40.0
1783238566.326504,145000,40.0
1783238567.7513218,145500,40.0
1783238569.1742144,146000,40.0
1783238570.6076505,146500,40.0
1783238572.047775,147000,40.0
1783238573.466325,147500,40.0
1783238574.8913543,148000,40.0
1783238576.3085604,148500,39.953453063964844
1783238577.7302237,149000,40.0
1783238579.1610665,149500,40.0
1783238580.7186701,150000,40.0
1783238582.2526352,150500,40.0
1783238583.794844,151000,40.0
1783238585.399061,151500,40.0
1783238586.829105,152000,40.0
1783238588.2564993,152500,40.0
1783238589.6855164,153000,40.0
1783238591.1102216,153500,40.0
1783238592.5462997,154000,40.0
1783238593.9694548,154500,40.0
1783238595.3851926,155000,40.0
1783238596.814616,155500,40.0
1783238598.2407856,156000,40.0
1783238599.6690252,156500,40.0
1783238601.0890815,157000,40.0
1783238602.5213604,157500,40.0
1783238604.0891054,158000,40.0
1783238605.5121152,158500,40.0
1783238606.9427612,159000,40.0
1783238610.7619264,159500,40.0
1783238612.4603727,160000,40.0
1783238617.1917534,160500,40.0
1783238618.8447495,161000,40.0
1783238620.2880855,161500,40.0
1783238621.7227733,162000,40.0
1783238623.1558638,162500,40.0
1783238624.5839887,163000,40.0
1783238626.186273,163500,40.0
1783238627.6168387,164000,40.0
1783238629.0460339,164500,40.0
1783238630.457758,165000,40.0
1783238631.8937378,165500,40.0
1783238633.3169737,166000,40.0
1783238634.7358305,166500,40.0
1783238636.1619668,167000,40.0
1783238637.5956109,167500,40.0
1783238639.0230012,168000,40.0
1783238640.4649434,168500,40.0
1783238641.895955,169000,40.0
1783238643.3172212,169500,40.0
1783238644.8829794,170000,40.0
1783238646.416197,170500,40.0
1783238647.9508245,171000,40.0
1783238649.4852517,171500,40.0
1783238650.9338565,172000,40.0
1783238652.3584259,172500,40.0
1783238653.781885,173000,40.0
1783238655.2022545,173500,40.0
1783238656.650539,174000,40.0
1783238658.0812938,174500,40.0
1783238659.5200865,175000,40.0
1783238660.9484653,175500,40.0
1783238662.4059544,176000,40.0
1783238663.9695466,176500,40.0
1783238665.4002569,177000,40.0
1783238666.9437876,177500,40.0
1783238668.389673,178000,40.0
1783238669.975293,178500,40.0
1783238671.5094452,179000,40.0
1783238672.9603834,179500,40.0
1783238674.4057357,180000,40.0
1783238675.8575048,180500,40.0
1783238677.284811,181000,40.0
1783238678.702746,181500,40.0
1783238680.1266313,182000,40.0
1783238681.5419652,182500,40.0
1783238683.115384,183000,40.0
1783238684.536086,183500,40.0
1783238685.9491544,184000,40.0
1783238687.363777,184500,40.0
1783238688.7862253,185000,40.0
1783238690.2053044,185500,40.0
1783238691.6198025,186000,40.0
1783238693.0546331,186500,40.0
1783238694.4704027,187000,40.0
1783238695.8904302,187500,40.0
1783238697.3081672,188000,40.0
1783238698.7377987,188500,40.0
1783238700.2075331,189000,40.0
1783238701.653212,189500,40.0
1783238703.1284196,190000,40.0
1783238704.5744734,190500,40.0
1783238705.9915051,191000,40.0
1783238707.4183109,191500,40.0
1783238708.855402,192000,40.0
1783238710.4535506,192500,40.0
1783238711.9807298,193000,40.0
1783238713.542797,193500,40.0
1783238715.0964174,194000,40.0
1783238716.574054,194500,40.0
1783238718.0315487,195000,40.0
1783238719.484,195500,40.0
1783238720.9956877,196000,40.0
1783238722.5832262,196500,40.0
1783238724.0078049,197000,40.0
1783238725.5302987,197500,40.0
1783238727.3572052,198000,40.0
1783238729.0281012,198500,40.0
1783238730.8891766,199000,40.0
1783238732.961271,199500,40.0
1783238734.9057038,200000,40.0
1783238736.6323671,200500,40.0
1783238738.646258,201000,40.0
1783238741.444483,201500,40.0
1783238745.2424262,202000,40.0
1783238747.17391,202500,40.0
1783238749.0058274,203000,40.0
1783238750.6230989,203500,40.0
1783238752.659395,204000,40.0
1783238754.8544,204500,40.0
1783238756.8216395,205000,40.0
1783238759.0516026,205500,40.0
1783238762.9526455,206000,40.0
1783238765.5631068,206500,40.0
1783238767.491971,207000,40.0
1783238769.2065363,207500,40.0
1783238770.716382,208000,40.0
1783238772.1939356,208500,40.0
1783238773.688187,209000,40.0
1783238775.1937757,209500,40.0
1783238776.7946403,210000,40.0
1783238778.4674346,210500,40.0
1783238780.4241724,211000,40.0
1783238782.5257545,211500,40.0
1783238784.5747607,212000,40.0
1783238786.5491335,212500,40.0
1783238788.0867364,213000,40.0
1783238789.8861048,213500,40.0
1783238791.732447,214000,40.0
1783238793.3170404,214500,40.0
1783238794.989276,215000,40.0
1783238796.689114,215500,40.0
1783238798.4412355,216000,40.0
1783238800.0261142,216500,40.0
1783238801.5412621,217000,40.0
1783238803.0127716,217500,40.0
1783238804.5274467,218000,40.0
1783238806.426406,218500,40.0
1783238808.1218076,219000,40.0
1783238809.8890827,219500,40.0
1783238813.6314344,220000,40.0
1783238815.6077573,220500,40.0
1783238817.929507,221000,40.0
1783238819.542049,221500,40.0
1783238821.2948725,222000,40.0
1783238823.423587,222500,40.0
1783238824.937879,223000,40.0
1783238826.6397972,223500,40.0
1783238828.3715572,224000,40.0
1783238829.9263172,224500,40.0
1783238833.2595835,225000,40.0
1783238835.6156905,225500,40.0
1783238838.5047884,226000,40.0
1783238840.5352983,226500,40.0
1783238842.461518,227000,40.0
1783238844.3613014,227500,40.0
1783238846.4210422,228000,40.0
1783238848.6538532,228500,40.0
1783238850.623331,229000,40.0
1783238854.092323,229500,40.0
1783238856.2975519,230000,40.0
1783238858.5850735,230500,40.0
1783238860.9076571,231000,40.0
1783238862.5802708,231500,40.0
1783238864.1643481,232000,40.0
1783238867.1611927,232500,40.0
1783238869.8700893,233000,40.0
1783238871.6801424,233500,40.0
1783238873.6024003,234000,40.0
1783238875.5695355,234500,40.0
1783238877.1719882,235000,40.0
1783238879.6978872,235500,40.0
1783238881.936749,236000,40.0
1783238884.0038433,236500,40.0
1783238886.0271006,237000,40.0
1783238887.861899,237500,40.0
1783238890.440271,238000,40.0
1783238892.0046875,238500,40.0
1783238893.5181513,239000,40.0
1783238895.0212083,239500,40.0
1783238896.4937909,240000,40.0
1783238897.9893677,240500,40.0
1783238899.5133133,241000,40.0
1783238900.9694052,241500,40.0
1783238902.4307735,242000,40.0
1783238903.9607115,242500,40.0
1783238905.5955276,243000,40.0
1783238907.5230231,243500,40.0
1783238909.644759,244000,40.0
1783238911.4794376,244500,40.0
1783238913.1077068,245000,40.0
1783238914.9568624,245500,40.0
1783238917.0203788,246000,40.0
1783238918.6379597,246500,40.0
1783238920.2609103,247000,40.0
1783238921.855338,247500,40.0
1783238923.4166265,248000,40.0
1783238925.0480208,248500,40.0
1783238926.8523254,249000,40.0
1783238929.1918302,249500,40.0
1783238931.3014708,250000,40.0
1783238933.5003104,250500,40.0
1783238935.8172586,251000,40.0
1783238937.5756521,251500,40.0
1783238939.3061554,252000,40.0
1783238941.1998377,252500,40.0
1783238943.2929044,253000,40.0
1783238945.3842103,253500,40.0
1783238947.5910552,254000,40.0
1783238949.3527732,254500,40.0
1783238950.999385,255000,40.0
1783238952.5309224,255500,40.0
1783238954.1581113,256000,40.0
1783238955.873392,256500,40.0
1783238957.563461,257000,40.0
1783238959.3810575,257500,40.0
1783238960.9504707,258000,40.0
1783238962.6002233,258500,40.0
1783238964.469343,259000,40.0
1783238965.991548,259500,40.0
1783238967.708141,260000,40.0
1783238969.5861936,260500,40.0
1783238971.135721,261000,40.0
1783238973.2069294,261500,40.0
1783238975.0110672,262000,40.0
1783238977.277937,262500,40.0
1783238979.4064105,263000,40.0
1783238981.1072066,263500,40.0
1783238982.7177126,264000,40.0
1783238984.3605766,264500,40.0
1783238986.3502548,265000,40.0
1783238988.984053,265500,40.0
1783238990.992551,266000,40.0
1783238992.4973972,266500,40.0
1783238994.32497,267000,40.0
1783238995.8758988,267500,40.0
1783238997.350182,268000,40.0
1783238998.648043,268500,40.0
1783239000.765195,269000,40.0
1783239002.6255288,269500,40.0
1783239004.983634,270000,40.0
1783239006.605442,270500,40.0
1783239007.909362,271000,40.0
1783239009.1710222,271500,40.0
1783239010.53131,272000,40.0
1783239011.7256966,272500,40.0
1783239012.947741,273000,40.0
1783239014.2551596,273500,40.0
1783239015.3924415,274000,40.0
1783239016.5609396,274500,40.0
1783239017.7206526,275000,40.0
1783239018.883528,275500,40.0
1783239020.1308575,276000,40.0
1783239021.3723524,276500,40.0
1783239022.645889,277000,40.0
1783239023.9461582,277500,40.0
1783239025.2642705,278000,40.0
1783239026.5931375,278500,40.0
1783239028.3337452,279000,40.0
1783239030.1075182,279500,40.0
1783239031.6728525,280000,40.0
1783239032.9485545,280500,40.0
1783239034.1724591,281000,40.0
1783239035.416643,281500,40.0
1783239036.6485338,282000,40.0
1783239037.843306,282500,40.0
1783239039.0283165,283000,40.0
1783239040.2522285,283500,40.0
1783239041.5185907,284000,40.0
1783239042.759272,284500,40.0
1783239044.0756354,285000,40.0
1783239045.3521106,285500,40.0
1783239046.634471,286000,40.0
1783239047.9063237,286500,40.0
1783239049.1897514,287000,40.0
1783239050.4066951,287500,40.0
1783239051.6127095,288000,40.0
1783239052.999348,288500,40.0
1783239054.4300187,289000,40.0
1783239055.6504307,289500,40.0
1783239056.9272876,290000,40.0
1783239058.1394584,290500,40.0
1783239059.3154821,291000,40.0
1783239060.6380608,291500,40.0
1783239061.9151204,292000,40.0
1783239063.1258013,292500,40.0
1783239064.312512,293000,40.0
1783239065.573434,293500,40.0
1783239066.7147803,294000,40.0
1783239067.8938258,294500,40.0
1783239069.145811,295000,40.0
1783239070.31522,295500,40.0
1783239071.4448934,296000,40.0
1783239072.6784525,296500,40.0
1783239073.8638668,297000,40.0
1783239075.10325,297500,40.0
1783239076.3827436,298000,40.0
1783239077.6977952,298500,40.0
1783239078.9025326,299000,40.0
1783239080.2362487,299500,40.0
1783239081.4278383,300000,40.0
