Wall time,Step,Value
1783239116.8812768,2048,24.68650245666504
1783239119.1551735,4096,24.18687629699707
1783239121.697609,6144,25.229162216186523
1783239124.1378202,8192,25.947710037231445
1783239126.63079,10240,27.882699966430664
1783239129.1013658,12288,29.510177612304688
1783239131.381827,14336,32.31431579589844
1783239134.5141225,16384,35.39285659790039
1783239137.6984453,18432,36.790069580078125
1783239140.6427333,20480,38.15461349487305
1783239144.390901,22528,39.38115310668945
1783239149.3894715,24576,39.74995422363281
1783239153.7820427,26624,39.76943588256836
1783239158.566869,28672,39.87135314941406
1783239162.2164302,30720,39.95465087890625
1783239165.584717,32768,36.5899658203125
1783239168.4007092,34816,37.96427536010742
1783239171.045525,36864,38.51165771484375
1783239173.6916184,38912,39.41605758666992
1783239177.0603013,40960,39.81305694580078
1783239180.6954463,43008,39.9646110534668
1783239185.2785783,45056,39.98230743408203
1783239189.181422,47104,39.19733428955078
1783239193.9543386,49152,39.531883239746094
1783239198.360968,51200,39.87080383300781
1783239201.8315182,53248,40.0
1783239205.296275,55296,39.11249542236328
1783239210.9264174,57344,39.63116455078125
1783239215.5058486,59392,39.921417236328125
1783239219.1655433,61440,39.95433044433594
1783239222.916069,63488,39.98230743408203
1783239226.6225615,65536,39.98477554321289
1783239230.762402,67584,37.38072967529297
1783239235.0228915,69632,38.24360656738281
1783239239.326742,71680,39.19966506958008
1783239243.0081508,73728,39.41950607299805
1783239246.550307,75776,39.752838134765625
1783239250.4185686,77824,39.9803466796875
1783239253.93997,79872,39.97022247314453
1783239257.4828653,81920,38.6077880859375
1783239260.935878,83968,39.34962844848633
1783239264.531344,86016,39.88795852661133
1783239268.3379743,88064,40.0
1783239272.3401957,90112,37.651859283447266
1783239276.913469,92160,37.850860595703125
1783239280.451459,94208,38.129825592041016
1783239284.8949325,96256,38.1577262878418
1783239288.3975172,98304,38.60356521606445
1783239291.8565295,100352,39.02128601074219
1783239295.4062133,102400,39.661354064941406
1783239298.7996745,104448,39.92455291748047
1783239303.48795,106496,39.60859680175781
1783239308.6593313,108544,39.94939041137695
1783239313.1596448,110592,40.0
1783239316.8675213,112640,38.50267028808594
1783239320.4148202,114688,39.3761100769043
1783239323.8265498,116736,39.80537033081055
1783239327.3453681,118784,39.893836975097656
1783239331.1277766,120832,39.96708297729492
1783239336.191478,122880,40.0
1783239342.3278904,124928,38.283714294433594
1783239345.8458111,126976,39.36354064941406
1783239349.5498059,129024,39.92922592163086
1783239353.0369768,131072,39.9646110534668
1783239357.4144373,133120,39.9646110534668
1783239360.6549237,135168,40.0
1783239364.0765038,137216,40.0
1783239367.692971,139264,40.0
1783239371.2104495,141312,40.0
1783239374.9622295,143360,40.0
1783239378.6651812,145408,38.21438980102539
1783239382.2258391,147456,38.22251510620117
1783239385.6908164,149504,38.227928161621094
1783239389.1396508,151552,38.227928161621094
1783239392.6661067,153600,38.227928161621094
1783239396.14775,155648,37.94192886352539
1783239399.5845363,157696,38.11576843261719
1783239403.2556927,159744,38.227928161621094
1783239406.9424553,161792,38.23063659667969
1783239410.2911837,163840,38.99648666381836
1783239414.0358634,165888,39.57456588745117
1783239417.643772,167936,39.893836975097656
1783239421.5176132,169984,40.0
1783239425.2341845,172032,39.93679428100586
1783239429.0814059,174080,39.94691848754883
1783239432.5496914,176128,39.98230743408203
1783239436.1214128,178176,39.94230651855469
1783239439.6527808,180224,39.94613265991211
1783239443.6909997,182272,40.0
1783239447.1705997,184320,39.9525260925293
1783239450.725078,186368,40.0
1783239454.2135212,188416,40.0
1783239459.0986607,190464,40.0
1783239464.127776,192512,40.0
1783239470.106285,194560,40.0
1783239473.8345468,196608,40.0
1783239477.620117,198656,40.0
1783239480.9981606,200704,38.193077087402344
1783239484.9425478,202752,37.79579544067383
1783239488.3631668,204800,38.34951400756836
1783239491.5529976,206848,39.00201416015625
1783239495.2206428,208896,39.358482360839844
1783239499.8660378,210944,39.49803924560547
1783239504.3338819,212992,39.539146423339844
1783239509.8678324,215040,35.736328125
1783239513.2585347,217088,37.00403594970703
1783239517.706609,219136,39.34489440917969
1783239521.4682603,221184,39.51662826538086
1783239525.1617002,223232,39.592403411865234
1783239529.8130136,225280,39.855010986328125
1783239533.1479127,227328,39.92750549316406
1783239537.0925367,229376,39.98964309692383
1783239543.434426,231424,40.0
1783239549.7982447,233472,40.0
1783239555.5237224,235520,35.68845748901367
1783239561.5136118,237568,37.77211380004883
1783239565.5637844,239616,39.20451354980469
1783239570.6206024,241664,39.720001220703125
1783239574.2515342,243712,40.0
1783239578.2299166,245760,39.959999084472656
1783239581.7908318,247808,40.0
1783239587.2559543,249856,31.38729476928711
1783239590.779456,251904,32.52690505981445
1783239594.1218257,253952,33.824031829833984
1783239597.7638335,256000,35.80153274536133
1783239602.175869,258048,37.02076721191406
1783239605.5423498,260096,38.20347595214844
1783239608.693718,262144,38.841732025146484
1783239611.8898914,264192,39.521732330322266
1783239615.056421,266240,39.959999084472656
1783239618.15363,268288,39.7617301940918
1783239622.7176075,270336,39.803462982177734
1783239626.1666672,272384,40.0
1783239630.878065,274432,40.0
1783239634.4446185,276480,35.98128128051758
1783239638.4148839,278528,38.42667007446289
1783239643.3322074,280576,39.52692413330078
1783239647.7248015,282624,39.91999816894531
1783239652.130754,284672,39.76346206665039
1783239658.5525217,286720,40.0
1783239663.5889475,288768,40.0
1783239667.7949657,290816,40.0
1783239673.0261428,292864,40.0
1783239678.166633,294912,39.921730041503906
1783239681.834504,296960,34.239227294921875
1783239685.215776,299008,34.39643478393555
1783239690.8188996,301056,37.351646423339844
