Agent,Mean Reward,Std Reward,Max Reward,Placement Rate
PPO,14.710538270295503,1.7763568394002505e-15,14.710538270295505,100.00%
DQN,16.0,0.0,16.0,100.00%
A2C,12.476737011446744,0.0,12.476737011446744,100.00%
